Date,Open,High,Low,Close,Volume,Market Cap
"Apr 12, 2016",422.84,427.28,422.84,425.19,70728800,6520870000
"Apr 11, 2016",421.87,422.74,420.53,422.48,50747500,6504290000
"Apr 10, 2016",419.59,422.44,419.26,421.56,73478600,6467330000
"Apr 09, 2016",420.81,420.89,416.51,419.41,49792700,6484410000
"Apr 08, 2016",422.91,425.36,419.63,420.35,63454700,6515190000
"Apr 07, 2016",423.62,423.66,420.52,422.75,57858600,6524680000
"Apr 06, 2016",424.28,424.53,422.73,423.41,59091000,6533260000
"Apr 05, 2016",421.02,424.26,420.61,424.03,60718000,6481350000
"Apr 04, 2016",421.3,422.34,419.6,421.44,50634300,6483910000
"Apr 03, 2016",421.17,421.58,419.7,420.9,38053700,6480470000
"Apr 02, 2016",418.42,422.08,418.42,420.87,45681200,6436700000
"Apr 01, 2016",416.76,418.17,415.83,417.96,51235700,6409540000
"Mar 31, 2016",415.26,418.37,415.26,416.73,60215200,6385140000
"Mar 30, 2016",416.83,416.83,412.5,414.82,66034100,6407840000
"Mar 29, 2016",424.3,426.2,412.68,416.52,75411500,6521010000
"Mar 28, 2016",426.55,426.86,423.29,424.23,68522800,6553700000
"Mar 27, 2016",418.14,428.8,417.71,426.76,71229400,6423040000
"Mar 26, 2016",417.37,418.99,416.26,417.94,44650400,6409500000
"Mar 25, 2016",416.51,418.08,415.56,417.18,52560000,6394850000
"Mar 24, 2016",418.42,418.68,415.49,416.39,68346700,6422730000
"Mar 23, 2016",418.16,419.27,417.36,418.04,61444200,6417130000
"Mar 22, 2016",413.13,418.38,412.53,418.09,66813300,6338430000
"Mar 21, 2016",413.42,413.42,410.38,413.31,61655400,6341380000
"Mar 20, 2016",410.4,414.63,410.4,413.75,45947900,6293610000
"Mar 19, 2016",409.26,410.98,407.23,410.44,58423000,6274790000
"Mar 18, 2016",420.55,420.55,406.14,409.55,104940000,6446330000
"Mar 17, 2016",417.89,421,417.89,420.62,83528600,6404130000
"Mar 16, 2016",416.89,417.69,415.91,417.01,65185800,6387190000
"Mar 15, 2016",416.39,418.13,414.99,416.83,66781700,6377870000
"Mar 14, 2016",414.2,416.68,414.2,416.44,95259400,6342780000
"Mar 13, 2016",411.65,416.6,411.64,414.06,74322800,6302330000
"Mar 12, 2016",421.61,421.8,410.09,411.62,92712900,6453260000
"Mar 11, 2016",417.24,423.93,417.01,421.69,73969700,6384740000
"Mar 10, 2016",414.74,417.51,413.25,417.13,81022900,6344960000
"Mar 09, 2016",413.89,416.03,411.61,414.86,70012300,6330230000
"Mar 08, 2016",414.46,416.24,411.09,413.97,70311700,6337370000
"Mar 07, 2016",407.76,415.92,406.31,414.32,85762400,6233430000
"Mar 06, 2016",400.52,411.91,395.78,407.71,91212500,6121400000
"Mar 05, 2016",410.78,411.26,394.04,400.57,135385000,6276610000
"Mar 04, 2016",421.84,425.18,410.94,410.94,90856100,6443890000
"Mar 03, 2016",423.91,425.37,419.41,421.65,100484000,6474150000
"Mar 02, 2016",435.13,435.92,423.99,423.99,74955300,6643810000
"Mar 01, 2016",437.92,439.65,432.32,435.12,74895800,6684800000
"Feb 29, 2016",433.44,441.51,431.69,437.7,60694700,6614980000
"Feb 28, 2016",432.57,435.68,423.82,433.5,53033400,6600310000
"Feb 27, 2016",432.84,434.23,428.1,432.52,41893600,6602810000
"Feb 26, 2016",424.63,432.15,421.62,432.15,61486000,6476080000
"Feb 25, 2016",425.04,427.72,420.42,424.54,70798000,6480650000
"Feb 24, 2016",420.96,425.55,413.91,424.95,67743700,6417190000
"Feb 23, 2016",438.25,439.86,417.82,420.74,85244900,6679400000
"Feb 22, 2016",438.99,439.05,432.92,437.75,85385200,6689200000
"Feb 21, 2016",437.77,448.05,429.08,438.8,89820700,6669260000
"Feb 20, 2016",421.6,441.98,421.6,437.16,93992100,6421310000
"Feb 19, 2016",422.73,423.1,417.6,420.79,55711300,6436980000
"Feb 18, 2016",416.57,426,415.64,422.37,76752600,6341430000
"Feb 17, 2016",407.66,421.17,406.78,416.32,83193600,6204150000
"Feb 16, 2016",401.43,408.94,401.43,407.49,73093100,6108040000
"Feb 15, 2016",407.57,410.38,397.75,400.19,74070500,6199850000
"Feb 14, 2016",392.93,407.23,392.93,407.23,74469800,5975580000
"Feb 13, 2016",384.64,391.86,384.64,391.86,61911700,5847990000
"Feb 12, 2016",379.69,384.95,379.6,384.26,67042800,5771040000
"Feb 11, 2016",382.11,383.13,376.4,379.65,74375600,5806110000
"Feb 10, 2016",376.15,385.48,375.78,381.65,85130900,5713880000
"Feb 09, 2016",373.42,377.25,372.9,376.03,55318500,5670880000
"Feb 08, 2016",376.76,379.88,373.33,373.45,47671100,5720100000
